Temperature,Soil_color,Crop,Nitrogen,Phosphorus,Potassium,Fertilizer
20,Black,Sugarcane,75,50,100,Urea
20,Black,Sugarcane,80,50,100,Urea
20,Black,Sugarcane,85,50,100,Urea
20,Black,Sugarcane,90,50,100,Urea
20,Black,Sugarcane,95,50,100,Urea
20,Black,Sugarcane,100,50,100,Urea
25,Black,Sugarcane,75,55,105,Urea
25,Black,Sugarcane,80,55,105,Urea
25,Black,Sugarcane,85,55,105,Urea
25,Black,Sugarcane,90,55,105,Urea
25,Black,Sugarcane,95,55,105,Urea
25,Black,Sugarcane,100,55,105,Urea
30,Black,Sugarcane,75,60,110,Urea
30,Black,Sugarcane,80,60,110,Urea
30,Black,Sugarcane,85,60,110,Urea
30,Black,Sugarcane,90,60,110,Urea
30,Black,Sugarcane,95,60,110,Urea
30,Black,Sugarcane,100,60,110,Urea
35,Black,Sugarcane,75,50,115,Urea
35,Black,Sugarcane,80,50,115,Urea
35,Black,Sugarcane,85,50,115,Urea
35,Black,Sugarcane,90,50,115,Urea
35,Black,Sugarcane,95,50,115,Urea
35,Black,Sugarcane,100,50,115,Urea
20,Black,Sugarcane,75,55,100,DAP
20,Black,Sugarcane,80,55,100,DAP
20,Black,Sugarcane,85,55,100,DAP
20,Black,Sugarcane,90,55,100,DAP
20,Black,Sugarcane,95,55,100,DAP
20,Black,Sugarcane,100,55,100,DAP
25,Black,Sugarcane,75,60,105,DAP
25,Black,Sugarcane,80,60,105,DAP
25,Black,Sugarcane,85,60,105,DAP
25,Black,Sugarcane,90,60,105,DAP
25,Black,Sugarcane,95,60,105,DAP
25,Black,Sugarcane,100,60,105,DAP
30,Black,Sugarcane,75,50,110,DAP
30,Black,Sugarcane,80,50,110,DAP
30,Black,Sugarcane,85,50,110,DAP
30,Black,Sugarcane,90,50,110,DAP
30,Black,Sugarcane,95,50,110,DAP
30,Black,Sugarcane,100,50,110,DAP
35,Black,Sugarcane,75,55,115,DAP
35,Black,Sugarcane,80,55,115,DAP
35,Black,Sugarcane,85,55,115,DAP
35,Black,Sugarcane,90,55,115,DAP
35,Black,Sugarcane,95,55,115,DAP
35,Black,Sugarcane,100,55,115,DAP
20,Black,Sugarcane,75,60,100,MOP
20,Black,Sugarcane,80,60,100,MOP
20,Black,Sugarcane,85,60,100,MOP
20,Black,Sugarcane,90,60,100,MOP
20,Black,Sugarcane,95,60,100,MOP
20,Black,Sugarcane,100,60,100,MOP
25,Black,Sugarcane,75,50,105,MOP
25,Black,Sugarcane,80,50,105,MOP
25,Black,Sugarcane,85,50,105,MOP
25,Black,Sugarcane,90,50,105,MOP
25,Black,Sugarcane,95,50,105,MOP
25,Black,Sugarcane,100,50,105,MOP
30,Black,Sugarcane,75,55,110,MOP
30,Black,Sugarcane,80,55,110,MOP
30,Black,Sugarcane,85,55,110,MOP
30,Black,Sugarcane,90,55,110,MOP
30,Black,Sugarcane,95,55,110,MOP
30,Black,Sugarcane,100,55,110,MOP
35,Black,Sugarcane,75,60,115,MOP
35,Black,Sugarcane,80,60,115,MOP
35,Black,Sugarcane,85,60,115,MOP
35,Black,Sugarcane,90,60,115,MOP
35,Black,Sugarcane,95,60,115,MOP
35,Black,Sugarcane,100,60,115,MOP
25,Black,Jowar,20,25,25,10:26:26 NPK
25,Black,Jowar,25,25,25,10:26:26 NPK
25,Black,Jowar,30,25,25,10:26:26 NPK
25,Black,Jowar,35,25,25,10:26:26 NPK
25,Black,Jowar,40,25,25,10:26:26 NPK
30,Black,Jowar,20,30,30,10:26:26 NPK
30,Black,Jowar,25,30,30,10:26:26 NPK
30,Black,Jowar,30,30,30,10:26:26 NPK
30,Black,Jowar,35,30,30,10:26:26 NPK
30,Black,Jowar,40,30,30,10:26:26 NPK
25,Black,Jowar,20,35,35,10:26:26 NPK
25,Black,Jowar,25,35,35,10:26:26 NPK
25,Black,Jowar,30,35,35,10:26:26 NPK
25,Black,Jowar,35,35,35,10:26:26 NPK
25,Black,Jowar,40,35,35,10:26:26 NPK
30,Black,Jowar,20,25,40,10:26:26 NPK
30,Black,Jowar,25,25,40,10:26:26 NPK
30,Black,Jowar,30,25,40,10:26:26 NPK
30,Black,Jowar,35,25,40,10:26:26 NPK
30,Black,Jowar,40,25,40,10:26:26 NPK
25,Black,Jowar,20,30,25,Urea
25,Black,Jowar,25,30,25,Urea
25,Black,Jowar,30,30,25,Urea
25,Black,Jowar,35,30,25,Urea
25,Black,Jowar,40,30,25,Urea
30,Black,Jowar,20,35,30,Urea
30,Black,Jowar,25,35,30,Urea
30,Black,Jowar,30,35,30,Urea
30,Black,Jowar,35,35,30,Urea
30,Black,Jowar,40,35,30,Urea
25,Black,Jowar,20,25,35,Urea
25,Black,Jowar,25,25,35,Urea
25,Black,Jowar,30,25,35,Urea
